properties.address_line1,properties.address_line2,properties.categories
YOSO Sushi,"87 Northeast 40th Street, Miami, FL 33137, United States of America","['catering', 'catering.restaurant', 'catering.restaurant.japanese']"
CAJA CALIENTE TRUCK,"95 Northeast 40th Street, Miami, FL 33137, United States of America","['catering', 'catering.restaurant']"
OKAMI,"156 Northeast 41st Street, Miami, FL 33137, United States of America","['catering', 'catering.restaurant', 'catering.restaurant.japanese']"
MC KITCHEN,"4141 Northeast 2nd Avenue, Miami, FL 33137, United States of America","['catering', 'catering.restaurant']"
MERCATO,"4141 Northeast 2nd Avenue, Miami, FL 33137, United States of America","['catering', 'catering.restaurant']"
JAPOW,"Paseo Ponti, Miami, FL 33137, United States of America","['catering', 'catering.restaurant']"
ZZ’s Sushi Bar,"151 Northeast 41st Street, Miami, FL 33137, United States of America","['catering', 'catering.restaurant', 'catering.restaurant.japanese', 'catering.restaurant.sushi']"
LE JARDINIER,"151 Northeast 41st Street, Miami, FL 33137, United States of America","['catering', 'catering.restaurant']"
L'ATELIER DE JOEL ROBUCHON,"151 Northeast 41st Street, Miami, FL 33137, United States of America","['catering', 'catering.restaurant', 'catering.restaurant.french']"
Ponte Vecchio Ristorante e Pizzeria,"2250 Southwest 22nd Street, Miami, FL 33145, United States of America","['catering', 'catering.restaurant', 'catering.restaurant.italian']"
Antigua Guatemala,"2741 West Flagler Street, Miami, FL 33135, United States of America","['catering', 'catering.restaurant']"
Fritanga Caña Brava,"2795 Northwest 7th Street, Miami, FL 33125, United States of America","['catering', 'catering.restaurant', 'catering.restaurant.latin_american']"
Pollo Campero,"2800 Southwest 8th Street, Miami, FL 33135, United States of America","['catering', 'catering.fast_food', 'halal']"
The District Miami,"190 Northeast 46th Street, Miami, FL 33137, United States of America","['catering', 'catering.restaurant']"
McDonald's,"2920 Southwest 8th Street, Miami, FL 33135, United States of America","['catering', 'catering.fast_food', 'catering.fast_food.burger']"
Palat,"4702 Northeast 2nd Avenue, Miami, FL 33137, United States of America","['building', 'building.catering', 'catering', 'catering.restaurant', 'catering.restaurant.italian']"
Los Amigos Supermarket,"Northwest 7th Street, Miami, FL 33126, United States of America","['commercial', 'commercial.supermarket']"
