properties.address_line1,properties.address_line2,properties.categories
«Il Gabbiano»,"205 Biscayne Boulevard, Miami, FL 33131, United States of America","['catering', 'catering.restaurant']"
Gyro House,"401 Biscayne Boulevard, Miami, FL 33132, United States of America","['catering', 'catering.restaurant', 'catering.restaurant.mediterranean']"
Kelly's Cajun Grill,"401 Biscayne Boulevard, Miami, FL 33132, United States of America","['catering', 'catering.fast_food']"
Auntie Anne's,"401 Biscayne Boulevard, Miami, FL 33132, United States of America","['catering', 'catering.fast_food']"
Truluck's Ocean's Finest Seafood and Crab,"777 Brickell Avenue, Miami, FL 33131, United States of America","['building', 'building.catering', 'building.commercial', 'building.office', 'catering', 'catering.restaurant']"
Chili's,"401 Biscayne Boulevard, Miami, FL 33132, United States of America","['catering', 'catering.restaurant', 'catering.restaurant.tex-mex']"
La Sandwicherie,"34 Southwest 8th Street, Miami, FL 33130, United States of America","['catering', 'catering.restaurant']"
Largo Bar & Grill,"401 Biscayne Boulevard, Miami, FL 33132, United States of America","['catering', 'catering.restaurant', 'catering.restaurant.seafood']"
Tradewinds Waterfront Bar And Grill,"401 Biscayne Boulevard, Miami, FL 33132, United States of America","['catering', 'catering.restaurant', 'catering.restaurant.american']"
Mambo Cafe,"401 Biscayne Boulevard, Miami, FL 33132, United States of America","['catering', 'catering.restaurant', 'catering.restaurant.american']"
Chicken Kitchen,"Southeast 1st Avenue, Miami, FL 33131, United States of America","['catering', 'catering.fast_food']"
Los Ranchos Steakhouse,"401 Biscayne Boulevard, Miami, FL 33132, United States of America","['catering', 'catering.restaurant', 'catering.restaurant.steak_house']"
The Knife Parrilla Argentina,"401 Biscayne Boulevard, Miami, FL 33132, United States of America","['catering', 'catering.restaurant', 'catering.restaurant.steak_house']"
Subway,"Northeast 8th Street, Miami, FL 33132, United States of America","['catering', 'catering.fast_food']"
Hard Rock Cafe,"401 Biscayne Boulevard, Miami, FL 33132, United States of America","['building', 'building.catering', 'catering', 'catering.restaurant', 'catering.restaurant.american']"
Subway,"Southwest 8th Street, Miami, FL 33130, United States of America","['catering', 'catering.fast_food', 'catering.fast_food.sandwich']"
P.F. Chang's,"901 South Miami Avenue, Miami, FL 33131, United States of America","['catering', 'catering.restaurant', 'catering.restaurant.asian']"
Wendy's,"200 Southwest 8th Street, Miami, FL 33130, United States of America","['building', 'building.catering', 'catering', 'catering.fast_food', 'catering.fast_food.burger']"
Sushi Sake,"Southwest 8th Street, Miami, FL 33130, United States of America","['catering', 'catering.restaurant']"
McDonald's,"299 Southwest 8th Street, Miami, FL 33130, United States of America","['building', 'building.catering', 'building.commercial', 'catering', 'catering.fast_food', 'catering.fast_food.burger']"
Babados FOR NOW! Wholesales,"14 Northwest 9th Street, Miami, FL 33136, United States of America","['commercial', 'commercial.supermarket']"
Publix,"911 Southwest 1st Avenue, Miami, FL 33130, United States of America","['commercial', 'commercial.supermarket']"
Komodo,"Brickell Avenue, Miami, FL 33131, United States of America","['catering', 'catering.restaurant']"
B&B Joint,"901 South Miami Avenue, Miami, FL 33130, United States of America","['catering', 'catering.restaurant', 'catering.restaurant.american']"
Munchies at Brickell,"Southwest 8th Street, Miami, FL 33130, United States of America","['catering', 'catering.fast_food']"
Chick'n Grill,"Southwest 8th Street, Miami, FL 33130, United States of America","['catering', 'catering.restaurant']"
Okeydokey,"268 Southwest 8th Street, Miami, FL 33130, United States of America","['building', 'building.catering', 'catering', 'catering.restaurant']"
North Italia,"Southwest 10th Street, Miami, FL 33130, United States of America","['building', 'building.catering', 'catering', 'catering.restaurant', 'catering.restaurant.italian']"
Sushi Siam,"Brickell Avenue, Miami, FL 33131, United States of America","['catering', 'catering.restaurant']"
Red Rooster Overtown,"920 Northwest 2nd Avenue, Miami, FL 33136, United States of America","['building', 'building.catering', 'catering', 'catering.restaurant']"
"García,s Seafood","308 Northwest North River Drive, Miami, FL 33128, United States of America","['catering', 'catering.restaurant', 'catering.restaurant.fish', 'catering.restaurant.seafood']"
Dunkin',"940 Southwest 1st Avenue, Miami, FL 33130, United States of America","['catering', 'catering.fast_food']"
Power Pizza,"50 Southwest 10th Street, Miami, FL 33130, United States of America","['catering', 'catering.fast_food', 'catering.fast_food.pizza']"
Baires grill Brickell,"South Miami Avenue, Miami, FL 33131, United States of America","['catering', 'catering.restaurant']"
412; Northwest North River Drive,"Miami, FL 33128, United States of America","['catering', 'catering.restaurant']"
Smoothie King,"South Miami Avenue, Miami, FL 33131, United States of America","['catering', 'catering.fast_food']"
La Gazzetta,"South Miami Avenue, Miami, FL 33131, United States of America","['catering', 'catering.restaurant']"
Baires grill,"1010 South Miami Avenue, Miami, FL 33130, United States of America","['catering', 'catering.restaurant']"
Nusr-Et,"1000 Brickell Avenue, Miami, FL 33131, United States of America","['catering', 'catering.restaurant']"
1036 South Miami Avenue,"Miami, FL 33130, United States of America","['building', 'building.catering', 'catering', 'catering.restaurant']"
Seaspice Brasserie & Lounge,"422 Northwest North River Drive, Miami, FL 33128, United States of America","['building', 'building.catering', 'catering', 'catering.restaurant']"
Papa John's,"400 Southwest 8th Street, Miami, FL 33130, United States of America","['catering', 'catering.fast_food', 'catering.fast_food.pizza']"
